IATA,Cluster1,Score1,Cluster2,Score2,Cluster3,Score3,Cluster4,Score4
KIX,TPE,0.714286,HKG,0.682403,TLV,0.663317,DOH,0.647321
ORY,TLV,0.484375,CDG,0.481928,TPE,0.414634,PMI,0.381443
NRT,TPE,0.683544,TLV,0.650000,HKG,0.637931,DOH,0.630303
CJU,TPE,0.628205,TLV,0.579710,HKG,0.575581,PMI,0.555556
HKG,TLV,0.512195,TPE,0.510000,DOH,0.439252,PMI,0.400000
PMI,TLV,0.604938,ORY,0.546392,TPE,0.545455,CDG,0.530000
PEK,TLV,0.657658,TPE,0.635659,HKG,0.586207,DOH,0.558824
ICN,TPE,0.637500,TLV,0.591549,HKG,0.585227,PMI,0.565714
BCN,TLV,0.614458,ORY,0.555556,TPE,0.554455,CDG,0.539216
DXB,TPE,0.600000,PMI,0.595122,AGP,0.592233,BCN,0.589372
TLV,TPE,0.348485,ORY,0.312500,DOH,0.301370,CDG,0.298507
AGP,TLV,0.609756,ORY,0.551020,TPE,0.550000,CDG,0.534653
IST,TLV,0.683168,DOH,0.611111,TPE,0.579832,PMI,0.537313
SAW,TPE,0.700855,HKG,0.684000,ORY,0.668103,TLV,0.666667
DOH,TLV,0.479452,PMI,0.452830,AGP,0.448598,BCN,0.444444
TPE,TLV,0.500000,HKG,0.400000,ORY,0.378049,CDG,0.364706
MAD,TLV,0.619048,ORY,0.560000,TPE,0.558824,CDG,0.543689
CDG,ORY,0.518072,TLV,0.507463,TPE,0.435294,PMI,0.400000
AYT,TPE,0.703390,HKG,0.686508,ORY,0.675214,TLV,0.669725
KWI,TLV,0.614173,PMI,0.593750,AGP,0.590062,BCN,0.586420
