Category,Metric,Value
Market Share,PMI Share in Top 90% Products,63.89%
Market Share,PMI Products Count,131
Market Share,Competitor Products Count,138
Flavor Distribution,Under-represented Segments,1
Flavor Distribution,Over-represented Segments,1
Taste Distribution,Under-represented Segments,2
Taste Distribution,Over-represented Segments,1
Thickness Distribution,Under-represented Segments,1
Thickness Distribution,Over-represented Segments,1
Length Distribution,Under-represented Segments,3
Length Distribution,Over-represented Segments,0
Passenger Mix,Top Nationalities (90% of passengers),11
